Epoch:[ 1][  0/337] time:138.45,net0_loss = 46.069, net0_acc = 0.188, net0_test_acc = 0.188,    net1_loss = 45.885, net1_acc = 0.344, net1_test_acc = 0.281
Epoch:[ 2][  0/337] time:627.84,net0_loss = 12.299, net0_acc = 0.719, net0_test_acc = 0.469,    net1_loss = 12.487, net1_acc = 0.562, net1_test_acc = 0.438
Epoch:[ 3][  0/337] time:1130.09,net0_loss = 10.673, net0_acc = 0.750, net0_test_acc = 0.469,    net1_loss = 10.427, net1_acc = 0.688, net1_test_acc = 0.531
Epoch:[ 4][  0/337] time:1621.19,net0_loss = 11.322, net0_acc = 0.656, net0_test_acc = 0.625,    net1_loss = 7.034, net1_acc = 0.812, net1_test_acc = 0.688
Epoch:[ 5][  0/337] time:2118.75,net0_loss = 9.890, net0_acc = 0.562, net0_test_acc = 0.500,    net1_loss = 5.269, net1_acc = 0.844, net1_test_acc = 0.688
Epoch:[ 6][  0/337] time:2608.08,net0_loss = 6.681, net0_acc = 0.844, net0_test_acc = 0.688,    net1_loss = 4.568, net1_acc = 0.812, net1_test_acc = 0.500
Epoch:[ 7][  0/337] time:3105.53,net0_loss = 6.626, net0_acc = 0.781, net0_test_acc = 0.750,    net1_loss = 5.224, net1_acc = 0.844, net1_test_acc = 0.594
Epoch:[ 8][  0/337] time:3594.70,net0_loss = 4.003, net0_acc = 0.844, net0_test_acc = 0.562,    net1_loss = 5.502, net1_acc = 0.781, net1_test_acc = 0.812
Epoch:[ 9][  0/337] time:4092.30,net0_loss = 3.068, net0_acc = 0.969, net0_test_acc = 0.781,    net1_loss = 5.504, net1_acc = 0.844, net1_test_acc = 0.781
Epoch:[10][  0/337] time:4581.51,net0_loss = 3.242, net0_acc = 0.875, net0_test_acc = 0.688,    net1_loss = 3.824, net1_acc = 0.875, net1_test_acc = 0.812
Epoch:[11][  0/337] time:5079.22,net0_loss = 1.353, net0_acc = 0.969, net0_test_acc = 0.750,    net1_loss = 1.767, net1_acc = 0.906, net1_test_acc = 0.875
Epoch:[12][  0/337] time:5568.49,net0_loss = 0.473, net0_acc = 1.000, net0_test_acc = 0.844,    net1_loss = 1.385, net1_acc = 0.969, net1_test_acc = 0.906
Epoch:[13][  0/337] time:6065.95,net0_loss = 1.387, net0_acc = 0.969, net0_test_acc = 0.719,    net1_loss = 0.296, net1_acc = 1.000, net1_test_acc = 0.812
Epoch:[14][  0/337] time:6555.15,net0_loss = 0.084, net0_acc = 1.000, net0_test_acc = 0.906,    net1_loss = 2.489, net1_acc = 0.906, net1_test_acc = 0.875
Epoch:[15][  0/337] time:7052.73,net0_loss = -0.274, net0_acc = 1.000, net0_test_acc = 0.906,    net1_loss = 1.293, net1_acc = 0.938, net1_test_acc = 0.938
Epoch:[16][  0/337] time:7542.25,net0_loss = 0.731, net0_acc = 0.969, net0_test_acc = 0.875,    net1_loss = 0.313, net1_acc = 1.000, net1_test_acc = 0.906
Epoch:[17][  0/337] time:8039.90,net0_loss = 0.761, net0_acc = 0.969, net0_test_acc = 0.938,    net1_loss = -0.293, net1_acc = 1.000, net1_test_acc = 0.938
Epoch:[18][  0/337] time:8529.31,net0_loss = -0.022, net0_acc = 1.000, net0_test_acc = 0.812,    net1_loss = 1.438, net1_acc = 0.969, net1_test_acc = 0.906
Epoch:[19][  0/337] time:9026.90,net0_loss = 0.159, net0_acc = 0.969, net0_test_acc = 0.812,    net1_loss = 0.901, net1_acc = 0.969, net1_test_acc = 0.938
Epoch:[20][  0/337] time:9516.39,net0_loss = 0.452, net0_acc = 0.969, net0_test_acc = 0.906,    net1_loss = 0.486, net1_acc = 1.000, net1_test_acc = 0.844
Epoch:[21][  0/337] time:10014.17,net0_loss = -0.525, net0_acc = 1.000, net0_test_acc = 0.844,    net1_loss = 1.201, net1_acc = 0.938, net1_test_acc = 0.938
Epoch:[22][  0/337] time:10504.26,net0_loss = -0.434, net0_acc = 1.000, net0_test_acc = 0.938,    net1_loss = -0.354, net1_acc = 1.000, net1_test_acc = 0.844
Epoch:[23][  0/337] time:11001.82,net0_loss = -0.182, net0_acc = 1.000, net0_test_acc = 0.969,    net1_loss = 0.337, net1_acc = 0.969, net1_test_acc = 0.812
Epoch:[24][  0/337] time:11492.01,net0_loss = 1.109, net0_acc = 0.938, net0_test_acc = 0.906,    net1_loss = -0.416, net1_acc = 1.000, net1_test_acc = 0.906
Epoch:[25][  0/337] time:11989.72,net0_loss = -0.329, net0_acc = 1.000, net0_test_acc = 0.906,    net1_loss = -0.515, net1_acc = 1.000, net1_test_acc = 0.938
Epoch:[26][  0/337] time:12479.90,net0_loss = 0.574, net0_acc = 0.969, net0_test_acc = 0.906,    net1_loss = 0.868, net1_acc = 0.938, net1_test_acc = 0.906
Epoch:[27][  0/337] time:12977.65,net0_loss = -0.438, net0_acc = 1.000, net0_test_acc = 0.812,    net1_loss = -0.471, net1_acc = 1.000, net1_test_acc = 0.906
Epoch:[28][  0/337] time:13468.01,net0_loss = -0.357, net0_acc = 1.000, net0_test_acc = 0.719,    net1_loss = -0.377, net1_acc = 1.000, net1_test_acc = 0.875
Epoch:[29][  0/337] time:13965.99,net0_loss = -0.011, net0_acc = 1.000, net0_test_acc = 0.875,    net1_loss = -0.217, net1_acc = 1.000, net1_test_acc = 0.906
Epoch:[30][  0/337] time:14456.24,net0_loss = -0.527, net0_acc = 1.000, net0_test_acc = 0.750,    net1_loss = -0.526, net1_acc = 1.000, net1_test_acc = 0.875
Epoch:[31][  0/337] time:14953.92,net0_loss = -0.608, net0_acc = 1.000, net0_test_acc = 0.844,    net1_loss = -0.108, net1_acc = 1.000, net1_test_acc = 0.938
Epoch:[32][  0/337] time:15443.65,net0_loss = -0.590, net0_acc = 1.000, net0_test_acc = 0.906,    net1_loss = 0.017, net1_acc = 0.969, net1_test_acc = 0.906
Epoch:[33][  0/337] time:15941.17,net0_loss = -0.320, net0_acc = 1.000, net0_test_acc = 1.000,    net1_loss = -0.264, net1_acc = 0.969, net1_test_acc = 0.906
Epoch:[34][  0/337] time:16431.25,net0_loss = -0.522, net0_acc = 1.000, net0_test_acc = 0.844,    net1_loss = -0.528, net1_acc = 1.000, net1_test_acc = 0.938
